nombreRepo,numRepoIntervalo,YAMLsEncontrados,stringBusqueda,pagBusqueda,url
Am-Issath/kubernetes-elastic-search,1,19,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
btoll/kubernetes-manifests,2,6,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
Loki-1/Kubernetes-manifestfiles,3,3,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
GaiaTechSolution/kubernetes-manifests,4,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
RahulShindepatil615/kubernetes-hands-on,5,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
jagadeesh-u/kubernetes_latest_manifest,6,94,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
rpersee/stremio,7,10,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
SkylarHoughtonGithub/shoutsky-containers,8,7,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
guilhermefaleiros/k8s-configuration,9,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
andreweacott/k3s-homelab,10,13,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
TsukasaHirai/kubernetes-environment,11,12,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
panchanandevops/K8s-demo-project,12,12,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
thananauto/web-expressjs-mongo-app,13,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
sbendarsky/manifest-formapp,14,9,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-01..2024-01-10&page=1&per_page=100&sort=stars&order=desc
JJGadgets/OCIfy,1,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
helpwave/k8s,2,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
cooper-andersen/Kubernetes-Deployment,3,2,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
yakovdonde/xwiki,4,12,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
KaustubhChavan09/Kubernetes_Manifest,5,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
1xByte/Kubernetes-Manifest-YML,6,6,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
JohnnyPaixaum/MyKubernetesManifests,7,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
walrus-demo-catalog/kubernetes-manifest-deployer,8,1,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
Ramtheja0822/kubernetes_manifest_yml_files,9,6,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
sika-training-examples/2024-01-11-counter-kubernetes-manifests-example,10,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
forged-by-grace/kafka,11,1,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
natereprogle/homelab,12,2,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
bruce-mig/argocd-go-micro-config,13,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
forged-by-grace/assign-token-ops,14,3,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-11..2024-01-20&page=1&per_page=100&sort=stars&order=desc
nealwp/yaml-check,1,15,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
Terre8055/crm-k8s-deployment,2,7,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
Mitchxxx/Amazon-clone-K8s-manifest,3,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
GANESH0369/kubernetes-manifest,4,1,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
DoSeongJin/kube_manifests,5,1,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
rjoeberttan/test-kubernetes-manifest,6,11,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
Pratik-Java/kubernetes_manifest_yml_files,7,6,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
kshirsagarn/manifest-files-in-Kubernetes,8,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
TechITFactoryb01/online-boutique-kubernetes-manifests,9,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
surajsunrays/hello-world-config,10,1,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
KingYoSun/palworld_manifest,11,2,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
AdWerx/meltano-kubernetes-ext,12,0,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
cerebro1/kyverno-policies,13,1,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
amirk1998/DevOps-Manifests,14,23,Kubernetes_manifest,1,https://api.github.com/search/repositories?q=Kubernetes_manifest+created:2024-01-21..2024-01-31&page=1&per_page=100&sort=stars&order=desc
