Features,Configurations
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,104
10,314
11,425
12,1175
13,3866
14,10649
15,33055
16,102214
17,295874
18,897741
19,3.13e6
20,1.26e7
21,5.50e7
22,2.46e8
23,1.09e9
24,4.72e9
25,1.98e10
26,8.14e10
27,3.25e11
28,1.28e12
29,4.94e12
30,1.87e13
31,7.02e13
32,2.58e14
33,9.36e14
34,3.33e15
35,1.16e16
36,4.03e16
37,1.36e17
38,4.58e17
39,1.51e18
40,4.94e18
41,1.59e19
42,5.09e19
43,1.61e20
44,5.03e20
45,1.56e21
46,4.79e21
47,1.46e22
48,4.41e22
49,1.31e23
50,3.91e23
51,1.15e24
52,3.35e24
53,9.69e24
54,2.77e25
55,7.90e25
56,2.22e26
57,6.22e26
58,1.72e27
59,4.74e27
60,1.29e28
61,3.49e28
62,9.39e28
63,2.50e29
64,6.61e29
65,1.73e30
66,4.51e30
67,1.16e31
68,2.99e31
69,7.63e31
70,1.93e32
71,4.84e32
72,1.20e33
73,2.99e33
74,7.36e33
75,1.80e34
76,4.36e34
77,1.05e35
78,2.52e35
79,6.00e35
80,1.41e36
81,3.33e36
82,7.78e36
83,1.80e37
84,4.16e37
85,9.55e37
86,2.17e38
87,4.92e38
88,1.10e39
89,2.48e39
90,5.52e39
91,1.22e40
92,2.68e40
93,5.87e40
94,1.27e41
95,2.75e41
96,5.93e41
97,1.26e42
98,2.69e42
99,5.69e42
100,1.19e43
101,2.50e43
102,5.19e43
103,1.07e44
104,2.20e44
105,4.51e44
106,9.19e44
107,1.85e45
108,3.74e45
109,7.48e45
110,1.49e46
111,2.95e46
112,5.81e46
113,1.13e47
114,2.22e47
115,4.30e47
116,8.31e47
117,1.59e48
118,3.04e48
119,5.79e48
120,1.09e49
121,2.05e49
122,3.85e49
123,7.17e49
124,1.32e50
125,2.45e50
126,4.49e50
127,8.21e50
128,1.49e51
129,2.69e51
130,4.85e51
131,8.69e51
132,1.54e52
133,2.74e52
134,4.85e52
135,8.53e52
136,1.49e53
137,2.60e53
138,4.51e53
139,7.78e53
140,1.33e54
141,2.28e54
142,3.89e54
143,6.61e54
144,1.11e55
145,1.87e55
146,3.14e55
147,5.24e55
148,8.70e55
149,1.43e56
150,2.36e56
151,3.88e56
152,6.34e56
153,1.03e57
154,1.67e57
155,2.70e57
156,4.34e57
157,6.96e57
158,1.11e58
159,1.76e58
160,2.80e58
161,4.42e58
162,6.97e58
163,1.09e59
164,1.70e59
165,2.66e59
166,4.13e59
167,6.39e59
168,9.86e59
169,1.51e60
170,2.32e60
171,3.55e60
172,5.41e60
173,8.22e60
174,1.24e61
175,1.88e61
176,2.83e61
177,4.25e61
178,6.37e61
179,9.53e61
180,1.42e62
181,2.11e62
182,3.12e62
183,4.62e62
184,6.82e62
185,1.00e63
186,1.47e63
187,2.15e63
188,3.15e63
189,4.59e63
190,6.68e63
191,9.70e63
192,1.40e64
193,2.02e64
194,2.92e64
195,4.20e64
196,6.03e64
197,8.64e64
198,1.23e65
199,1.76e65
200,2.50e65
201,3.55e65
202,5.03e65
203,7.12e65
204,1.00e66
205,1.41e66
206,1.98e66
207,2.78e66
208,3.90e66
209,5.45e66
210,7.60e66
211,1.05e67
212,1.46e67
213,2.03e67
214,2.81e67
215,3.88e67
216,5.34e67
217,7.35e67
218,1.00e68
219,1.38e68
220,1.88e68
221,2.57e68
222,3.50e68
223,4.76e68
224,6.45e68
225,8.73e68
226,1.17e69
227,1.58e69
228,2.13e69
229,2.87e69
230,3.84e69
231,5.14e69
232,6.86e69
233,9.14e69
234,1.21e70
235,1.61e70
236,2.13e70
237,2.81e70
238,3.71e70
239,4.88e70
240,6.40e70
241,8.39e70
242,1.09e71
243,1.43e71
244,1.86e71
245,2.41e71
246,3.13e71
247,4.04e71
248,5.22e71
249,6.72e71
250,8.62e71
251,1.10e72
252,1.41e72
253,1.80e72
254,2.29e72
255,2.90e72
256,3.67e72
257,4.64e72
258,5.85e72
259,7.35e72
260,9.21e72
261,1.15e73
262,1.43e73
263,1.78e73
264,2.21e73
265,2.73e73
266,3.37e73
267,4.14e73
268,5.08e73
269,6.21e73
270,7.57e73
271,9.20e73
272,1.11e74
273,1.34e74
